,Tree ID,Carbon Storage (kg),Height (m),Canopy Cover (m2)
378,1249.0,104.0,4.0,7.1
379,1250.0,3.1,4.0,7.1
380,1251.0,3.1,4.0,7.1
381,1252.0,3.1,4.0,7.1
382,1253.0,3.1,4.0,7.1
383,1254.0,20.1,4.0,12.6
384,1255.0,52.3,12.0,19.6
385,1256.0,118.0,18.0,7.1
386,1257.0,118.0,18.0,7.1
387,1258.0,67.9,14.0,12.6
388,1259.0,67.9,20.0,12.6
389,1260.0,67.9,20.0,12.6
390,1261.0,67.9,20.0,12.6
391,1262.0,67.9,20.0,12.6
392,1263.0,67.9,20.0,12.6
393,1264.0,185.6,20.0,12.6
394,1265.0,67.9,20.0,12.6
395,1266.0,68.0,4.0,7.1
396,1267.0,68.0,8.0,7.1
397,1268.0,25.3,8.0,7.1
398,1269.0,48.2,6.0,12.6
399,1270.0,33.1,6.0,12.6
400,1271.0,12.3,5.0,12.6
401,1272.0,12.3,4.0,12.6
402,1273.0,308.7,5.0,12.6
403,1274.0,137.0,4.0,7.1
404,1275.0,8.9,5.0,12.6
405,1276.0,8.9,5.0,12.6
406,1277.0,115.0,12.0,7.1
407,1278.0,198.0,12.0,7.1
408,1279.0,21.3,3.5,7.1
409,1280.0,8.9,5.0,12.6
410,1281.0,115.0,6.0,7.1
411,1282.0,21.3,6.0,7.1
412,1283.0,21.3,6.0,7.1
413,1284.0,25.3,6.0,7.1
414,1285.0,8.9,5.0,12.6
415,1286.0,8.9,5.0,12.6
416,1287.0,8.9,5.0,12.6
417,1288.0,25.3,6.0,7.1
418,1289.0,57.1,8.0,7.1
419,1290.0,115.0,6.0,7.1
420,1291.0,115.0,8.0,12.6
421,1292.0,27.3,2.5,3.1
422,1293.0,196.1,15.0,12.6
423,1294.0,35.3,10.0,7.1
424,1295.0,35.3,10.0,7.1
425,1296.0,35.3,10.0,7.1
426,1297.0,68.9,14.0,7.1
427,1298.0,35.3,14.0,7.1
428,1299.0,68.9,10.0,7.1
429,1300.0,68.9,10.0,7.1
430,1301.0,629.1,18.0,7.1
431,1302.0,4.6,6.0,28.3
432,1303.0,24.3,5.0,9.6
433,1304.0,20.3,4.0,4.9
434,1305.0,24.3,5.0,7.1
435,1306.0,24.3,5.0,9.6
436,1307.0,24.3,5.0,9.6
437,1308.0,24.3,5.0,9.6
438,1309.0,24.3,5.0,9.6
439,1310.0,39.1,5.0,9.6
440,1311.0,39.1,5.0,12.6
441,1312.0,16.7,4.0,7.1
442,1313.0,16.7,4.0,7.1
443,1314.0,16.7,4.0,7.1
444,1315.0,3.4,4.0,3.1
445,1316.0,3.4,4.0,3.1
446,1317.0,3.4,4.0,3.1
447,1318.0,15.4,5.0,4.9
448,1319.0,15.4,5.0,4.9
449,1320.0,15.4,5.0,4.9
450,1321.0,15.4,5.0,4.9
451,1322.0,15.4,5.0,4.9
452,1323.0,15.4,5.0,4.9
453,1324.0,183.2,6.0,28.3
454,1325.0,54.9,5.0,3.1
455,1326.0,685.5,8.0,50.3
456,1327.0,685.5,8.0,50.3
457,1328.0,685.5,8.0,50.3
458,1329.0,66.3,12.0,24.3
459,1330.0,66.3,12.0,24.3
460,1331.0,66.3,12.0,24.3
461,1332.0,66.3,12.0,24.3
462,1333.0,66.3,12.0,24.3
463,1334.0,66.3,12.0,24.3
464,1335.0,66.3,12.0,24.3
465,1336.0,66.3,12.0,24.3
466,1337.0,54.9,12.0,24.3
467,1338.0,54.9,12.0,24.3
468,1339.0,54.9,12.0,24.3
469,1340.0,44.7,5.0,7.1
470,1341.0,79.0,12.0,7.1
471,1342.0,310.0,20.0,12.6
472,1343.0,93.0,10.0,7.1
473,1344.0,35.7,10.0,7.1
474,1345.0,357.4,6.0,7.1
475,1346.0,107.4,5.0,7.1
476,1347.0,586.0,4.0,12.6
477,1348.0,107.4,4.0,7.1
478,1366.0,39.2,8.0,50.3
479,1367.0,338.9,10.0,78.5
480,1368.0,246.2,8.0,50.3
481,1372.0,20.0,6.0,50.3
482,1373.0,15.7,6.0,19.6
483,1374.0,15.7,5.5,19.6
484,1375.0,15.7,6.0,28.3
485,1397.0,21.5,4.5,4.9
486,1398.0,21.5,4.5,4.9
487,1399.0,26.5,5.0,3.1
488,1400.0,26.5,5.0,7.1
489,1401.0,26.5,5.0,3.1
490,1402.0,4.5,4.0,1.8
491,1403.0,4.5,4.0,0.8
492,1404.0,27.9,6.0,12.6
493,1406.0,268.1,11.0,78.5
494,1407.0,21.5,4.0,4.9
495,1408.0,38.5,4.5,7.1
496,1409.0,21.5,4.5,3.1
497,1410.0,23.1,4.0,7.1
498,1411.0,8.9,1.0,0.2
499,1412.0,45.5,6.0,28.3
500,1413.0,11.7,5.0,1.8
501,1414.0,60.0,6.0,28.3
502,1415.0,8.9,4.5,0.8
503,1416.0,8.9,4.0,0.8
504,1417.0,8.9,4.5,0.8
505,1418.0,27.9,4.0,12.6
506,1419.0,39.0,5.0,12.6
507,1420.0,27.9,5.0,12.6
508,1421.0,6.5,4.0,0.8
509,1422.0,23.1,4.5,12.6
510,1423.0,8.9,4.0,1.8
511,1424.0,60.0,5.0,12.6
512,1425.0,6.5,4.0,1.8
513,1426.0,68.2,6.0,12.6
514,1427.0,6.5,4.0,0.8
515,1428.0,6.5,4.0,0.8
516,1429.0,11.7,4.0,7.1
517,1430.0,18.8,5.0,7.1
518,1431.0,33.2,4.5,12.6
